Wavelength (nm)	Spectral irradiance (W m-2 nm-1)	Cumulative photon flux (cm-2 s-1)
300	0.0010145	76559335183
301	0.001925	3.68068E+11
302	0.0032	8.54265E+11
303	0.006875	1.90229E+12
304	0.009925	3.42024E+12
305	0.01585	5.85236E+12
306	0.019175	8.80432E+12
307	0.028025	1.31328E+13
308	0.03805	1.90289E+13
309	0.041325	2.54532E+13
310	0.052525	3.3645E+13
311	0.078625	4.5947E+13
312	0.092175	6.04155E+13
313	0.104925	7.69381E+13
314	0.11875	9.56975E+13
315	0.13	1.16299E+14
316	0.1285	1.36728E+14
317	0.1685	1.63601E+14
318	0.17925	1.92279E+14
319	0.197	2.23895E+14
320	0.2125	2.58106E+14
321	0.24575	2.97793E+14
322	0.22425	3.34122E+14
323	0.22225	3.70237E+14
324	0.27	4.14249E+14
325	0.29025	4.61707E+14
326	0.37225	5.2276E+14
327	0.396	5.87907E+14
328	0.36375	6.47932E+14
329	0.42	7.17451E+14
330	0.4585	7.93572E+14
331	0.412	8.62181E+14
332	0.43125	9.34213E+14
333	0.425	1.00541E+15
334	0.4195	1.0759E+15
335	0.4555	1.15267E+15
336	0.41525	1.22287E+15
337	0.3815	1.28755E+15
338	0.42975	1.36063E+15
339	0.46275	1.43955E+15
340	0.493	1.52388E+15
341	0.47675	1.60567E+15
342	0.4875	1.68955E+15
343	0.50425	1.77657E+15
344	0.43025	1.85103E+15
345	0.4515	1.92939E+15
346	0.48125	2.01317E+15
347	0.4865	2.0981E+15
348	0.47625	2.18148E+15
349	0.47175	2.26431E+15
350	0.52375	2.35653E+15
351	0.54875	2.45344E+15
352	0.51225	2.54415E+15
353	0.52425	2.63726E+15
354	0.59675	2.74354E+15
355	0.60475	2.85154E+15
356	0.55275	2.95054E+15
357	0.47225	3.03536E+15
358	0.42925	3.11268E+15
359	0.4745	3.19838E+15
360	0.58	3.30342E+15
361	0.5275	3.39923E+15
362	0.53925	3.49744E+15
363	0.59175	3.60551E+15
364	0.59825	3.71506E+15
365	0.63175	3.83107E+15
366	0.721	3.96383E+15
367	0.72075	4.09691E+15
368	0.675	4.22188E+15
369	0.6965	4.35118E+15
370	0.7325	4.48754E+15
371	0.69525	4.6173E+15
372	0.67625	4.74387E+15
373	0.60775	4.85792E+15
374	0.55425	4.9622E+15
375	0.59425	5.07432E+15
376	0.6645	5.20002E+15
377	0.7185	5.33629E+15
378	0.833	5.49471E+15
379	0.74525	5.63681E+15
380	0.703	5.77121E+15
381	0.73975	5.913E+15
382	0.5905	6.02649E+15
383	0.46325	6.11575E+15
384	0.51675	6.21558E+15
385	0.6495	6.34138E+15
386	0.631	6.46392E+15
387	0.646	6.5897E+15
388	0.6345	6.71356E+15
389	0.6885	6.8483E+15
390	0.78725	7.00276E+15
391	0.84	7.168E+15
392	0.777	7.32124E+15
393	0.49925	7.41995E+15
394	0.5125	7.52154E+15
395	0.7875	7.67803E+15
396	0.72875	7.82322E+15
397	0.50675	7.92444E+15
398	0.832	8.09103E+15
399	1.06	8.30381E+15
400	1.11375	8.52794E+15
401	1.15875	8.76171E+15
402	1.19	9.00239E+15
403	1.1675	9.2391E+15
404	1.17375	9.47766E+15
405	1.15	9.71198E+15
406	1.12125	9.94101E+15
407	1.10875	1.0168E+16
408	1.15375	1.04049E+16
409	1.1975	1.06513E+16
410	1.0875	1.08756E+16
411	1.16375	1.11162E+16
412	1.225	1.13701E+16
413	1.195	1.16184E+16
414	1.18625	1.18655E+16
415	1.22	1.21202E+16
416	1.25125	1.23821E+16
417	1.22625	1.26394E+16
418	1.18375	1.28883E+16
419	1.20125	1.31415E+16
420	1.15125	1.33848E+16
421	1.24875	1.36493E+16
422	1.2475	1.39141E+16
423	1.215	1.41727E+16
424	1.215	1.44319E+16
425	1.24	1.4697E+16
426	1.21	1.49563E+16
427	1.17625	1.5209E+16
428	1.1675	1.54604E+16
429	1.074	1.56922E+16
430	0.88925	1.58846E+16
431	0.868	1.60728E+16
432	1.24275	1.63429E+16
433	1.22875	1.66106E+16
434	1.15625	1.6863E+16
435	1.24125	1.71347E+16
436	1.34875	1.74305E+16
437	1.365	1.77306E+16
438	1.235	1.80028E+16
439	1.19875	1.82675E+16
440	1.325	1.85609E+16
441	1.34375	1.8859E+16
442	1.41125	1.91728E+16
443	1.4325	1.94921E+16
444	1.4125	1.98076E+16
445	1.43375	2.01286E+16
446	1.35125	2.04318E+16
447	1.46875	2.07621E+16
448	1.49875	2.10999E+16
449	1.5075	2.14404E+16
450	1.55875	2.17933E+16
451	1.595	2.21552E+16
452	1.535	2.25043E+16
453	1.45625	2.28362E+16
454	1.51625	2.31825E+16
455	1.5275	2.35321E+16
456	1.565	2.38912E+16
457	1.575	2.42533E+16
458	1.55125	2.46107E+16
459	1.53125	2.49643E+16
460	1.52875	2.53181E+16
461	1.57375	2.56831E+16
462	1.59	2.60527E+16
463	1.5925	2.64236E+16
464	1.55375	2.67863E+16
465	1.53625	2.71457E+16
466	1.5475	2.75085E+16
467	1.5075	2.78627E+16
468	1.55125	2.8228E+16
469	1.5525	2.85943E+16
470	1.51125	2.89516E+16
471	1.53625	2.93157E+16
472	1.5925	2.96938E+16
473	1.55875	3.00648E+16
474	1.565	3.0438E+16
475	1.5975	3.08197E+16
476	1.5675	3.11951E+16
477	1.575	3.15731E+16
478	1.61	3.19602E+16
479	1.59625	3.23449E+16
480	1.6075	3.27331E+16
481	1.61125	3.3123E+16
482	1.61625	3.35149E+16
483	1.59875	3.39034E+16
484	1.5725	3.42863E+16
485	1.525	3.46585E+16
486	1.325	3.49824E+16
487	1.41625	3.53294E+16
488	1.51375	3.57011E+16
489	1.4825	3.60658E+16
490	1.59125	3.64581E+16
491	1.5575	3.68428E+16
492	1.50375	3.7215E+16
493	1.57125	3.76047E+16
494	1.56625	3.7994E+16
495	1.61875	3.83971E+16
496	1.57375	3.87898E+16
497	1.58125	3.91852E+16
498	1.555	3.95748E+16
499	1.54875	3.99636E+16
500	1.535	4.03497E+16
501	1.49625	4.07269E+16
502	1.49875	4.11054E+16
503	1.5375	4.14945E+16
504	1.4775	4.18691E+16
505	1.55375	4.22639E+16
506	1.60375	4.26721E+16
507	1.55375	4.30684E+16
508	1.52375	4.34579E+16
509	1.56625	4.3859E+16
510	1.54875	4.42563E+16
511	1.57125	4.46603E+16
512	1.59375	4.50708E+16
513	1.52625	4.54647E+16
514	1.49125	4.58504E+16
515	1.525	4.62455E+16
