# Wavelength (nm)	EQE(%)
6.934030180395307070e+02	8.201077877483452239e-02
7.365665739208939158e+02	3.244499242757564739e-01
7.620028360929533164e+02	5.830265496575115503e-01
7.748946516150300567e+02	7.708152870143800683e-01
8.028652193216577189e+02	8.108927307912139337e-01
8.533669009286054461e+02	8.054321714379706343e-01
8.875048410751472829e+02	7.992538354597616967e-01
9.025332412516562499e+02	7.970952576368725007e-01
9.614231580242106929e+02	7.879202557404015872e-01
1.030632469037127976e+03	7.732764660647490906e-01
1.094811768698267088e+03	4.535197899359317830e-01
1.140616642284085628e+03	1.823461651392860317e-01
1.154996659747907415e+03	1.061761282055720818e-01
