# Wavelength (nm)	top EQE(%)	bottom EQE (%)
3.69E+02	5.70E-01	0.00E+00
3.85E+02	6.62E-01	0.00E+00
4.00E+02	7.11E-01	0.00E+00
4.12E+02	7.29E-01	0.00E+00
4.28E+02	7.67E-01	0.00E+00
4.39E+02	7.63E-01	0.00E+00
4.53E+02	7.70E-01	0.00E+00
4.80E+02	7.96E-01	0.00E+00
5.05E+02	8.12E-01	0.00E+00
5.40E+02	8.21E-01	0.00E+00
6.17E+02	8.07E-01	0.00E+00
6.36E+02	8.22E-01	2.00E-02
6.61E+02	8.09E-01	4.00E-02
6.93E+02	7.93E-01	8.20E-02
7.37E+02	5.06E-01	3.24E-01
7.62E+02	2.34E-01	5.83E-01
7.75E+02	0.00E+00	7.71E-01
8.03E+02	0.00E+00	8.11E-01
8.53E+02	0.00E+00	8.05E-01
8.88E+02	0.00E+00	7.99E-01
9.03E+02	0.00E+00	7.97E-01
9.61E+02	0.00E+00	7.88E-01
1.03E+03	0.00E+00	7.73E-01
1.09E+03	0.00E+00	4.54E-01
1.14E+03	0.00E+00	1.82E-01
1.15E+03	0.00E+00	1.06E-01
