# Wavelength (nm)	EQE(%)
3.690029341657346436e+02	5.697410353223237856e-01
3.854680062334768991e+02	6.615267867950395120e-01
3.999829013876643558e+02	7.111368289530713982e-01
4.122463924124993468e+02	7.294251402325118150e-01
4.281851101343868891e+02	7.671179188542938121e-01
4.394989635113441864e+02	7.626302449690938179e-01
4.533128347537430614e+02	7.697062446963230942e-01
4.799324649833444596e+02	7.957338342153954525e-01
5.047185282129076427e+02	8.116651265031672446e-01
5.395443037924974305e+02	8.212806273705985927e-01
6.167643436346503449e+02	8.070943137758164188e-01
6.359344379548628012e+02	8.220922866428427289e-01
6.608436175278740166e+02	8.093486890997897421e-01
6.934030180395307070e+02	7.933095958898138678e-01
7.365665739208939158e+02	5.058206641983952201e-01
7.620028360929533164e+02	2.341172561945716324e-01
